OUTBOUND_DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,DATE,Quantity_KT_Out
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00001,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00001,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00003,2024-01-02,25.5
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00004,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00006,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00006,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00008,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0325,CST-00009,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0325,CST-00009,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00010,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00011,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00011,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00012,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00013,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00014,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00015,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,2024-01-02,24.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,2024-01-02,0.08
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,2024-01-02,1.38
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,2024-01-02,1.3
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,2024-01-02,22.0
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0266,CST-00019,2024-01-02,9.63
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00020,2024-01-02,13.75
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,2024-01-02,17.88
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,2024-01-02,6.88
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00021,2024-01-02,3.0
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00022,2024-01-02,15.0
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,2024-01-02,4.13
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,2024-01-02,19.25
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,2024-01-02,1.38
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00024,2024-01-02,12.38
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0339,CST-00025,2024-01-02,0.35
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00026,2024-01-02,0.1
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00027,2024-01-02,0.05
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,2024-01-02,0.55
2024-01-02,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,2024-01-02,1.03
